"country_name","continent","capital_name","capital_name_pl","capital_name_ru","capital_name_uz","country_name_pl","country_name_ru","country_name_uz","id","created_date","updated_date","created_by_id","created_by","is_sample"
"St. Vincent & Grenadines","North America","Kingstown","Kingstown","Кингстаун","Kingstaun","Saint Vincent i Grenadyny","Сент-Винсент и Гренадины","Sent-Vinsent va Grenadinlar","69ad3b237acbbcf72cee7d96","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Sierra Leone","Africa","Freetown","Freetown","Фритаун","Fritaun","Sierra Leone","Сьерра-Леоне","Syerra-Leone","69ad3b237acbbcf72cee7d9e","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Singapore","Asia","Singapore","Singapur","Сингапур","Singapur","Singapur","Сингапур","Singapur","69ad3b237acbbcf72cee7d9f","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Sri Lanka","Asia","Sri Jayawardenepura Kotte","Sri Dźajawardanapura Kotte","Шри-Джаяварденепура-Котте","Shri-Jayavardenepura-Kotte","Sri Lanka","Шри-Ланка","Shri-Lanka","69ad3b237acbbcf72cee7da8","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Switzerland","Europe","Bern","Berno","Берн","Bern","Szwajcaria","Швейцария","Shveytsariya","69ad3b237acbbcf72cee7dac","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"United States","North America","Washington, D.C.","Waszyngton","Вашингтон","Vashington","Stany Zjednoczone","Соединённые Штаты Америки","Amerika Qoʻshma Shtatlari","69ad3b237acbbcf72cee7dbe","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Pakistan","Asia","Islamabad","Islamabad","Исламабад","Islomobod","Pakistan","Пакистан","Pokiston","69ad3b237acbbcf72cee7d86","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Palestine","Asia","Jerusalem / Ramallah","Jerozolima / Ramallah","Иерусалим / Рамалла","Quddus / Ramalloh","Palestyna","Палестина","Falastin","69ad3b237acbbcf72cee7d88","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Venezuela","South America","Caracas","Caracas","Каракас","Karakas","Wenezuela","Венесуэла","Venesuela","69ad3b237acbbcf72cee7dc3","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Paraguay","South America","Asunción","Asunción","Асунсьон","Asunson","Paragwaj","Парагвай","Paragvay","69ad3b237acbbcf72cee7d8b","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Serbia","Europe","Belgrade","Belgrad","Белград","Belgrad","Serbia","Сербия","Serbiya","69ad3b237acbbcf72cee7d9c","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Turkey (Türkiye)","Asia","Ankara","Ankara","Анкара","Anqara","Turcja","Турция","Turkiya","69ad3b237acbbcf72cee7db7","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Papua New Guinea","Oceania","Port Moresby","Port Moresby","Порт-Морсби","Port-Morsbi","Papua-Nowa Gwinea","Папуа — Новая Гвинея","Papua-Yangi Gvineya","69ad3b237acbbcf72cee7d8a","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"São Tomé and Príncipe","Africa","São Tomé","São Tomé","Сан-Томе","San-Tome","Wyspy Świętego Tomasza i Książęca","Сан-Томе и Принсипи","San-Tome va Prinsipi","69ad3b237acbbcf72cee7d99","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Uruguay","South America","Montevideo","Montevideo","Монтевидео","Montevideo","Urugwaj","Уругвай","Urugvay","69ad3b237acbbcf72cee7dbf","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Portugal","Europe","Lisbon","Lizbona","Лиссабон","Lissabon","Portugalia","Португалия","Portugaliya","69ad3b237acbbcf72cee7d8f","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Saint Kitts and Nevis","North America","Basseterre","Basseterre","Бастер","Baster","Saint Kitts i Nevis","Сент-Китс и Невис","Sent-Kits va Nevis","69ad3b237acbbcf72cee7d94","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Samoa","Oceania","Apia","Apia","Апиа","Apia","Samoa","Самоа","Samoa","69ad3b237acbbcf72cee7d97","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Seychelles","Africa","Victoria","Victoria","Виктория","Viktoriya","Seszele","Сейшельские Острова","Seyshel orollari","69ad3b237acbbcf72cee7d9d","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Slovenia","Europe","Ljubljana","Lublana","Любляна","Lyublyana","Słowenia","Словения","Sloveniya","69ad3b237acbbcf72cee7da1","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Timor-Leste","Asia","Dili","Dili","Дили","Dili","Timor Wschodni","Тимор-Лесте","Timor-Leste","69ad3b237acbbcf72cee7db2","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Turkmenistan","Asia","Ashgabat","Aszchabad","Ашхабад","Ashxobod","Turkmenistan","Туркменистан","Turkmaniston","69ad3b237acbbcf72cee7db8","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Zimbabwe","Africa","Harare","Harare","Хараре","Harare","Zimbabwe","Зимбабве","Zimbabve","69ad3b237acbbcf72cee7dc7","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Senegal","Africa","Dakar","Dakar","Дакар","Dakar","Senegal","Сенегал","Senegal","69ad3b237acbbcf72cee7d9b","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Tonga","Oceania","Nukuʻalofa","Nukuʻalofa","Нукуалофа","Nukualofa","Tonga","Тонга","Tonga","69ad3b237acbbcf72cee7db4","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Trinidad and Tobago","North America","Port of Spain","Port-of-Spain","Порт-оф-Спейн","Port-of-Speyn","Trynidad i Tobago","Тринидад и Тобаго","Trinidad va Tobago","69ad3b237acbbcf72cee7db5","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Ukraine","Europe","Kyiv","Kijów","Киев","Kiyev","Ukraina","Украина","Ukraina","69ad3b237acbbcf72cee7dbb","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Vanuatu","Oceania","Port Vila","Port Vila","Порт-Вила","Port-Vila","Vanuatu","Вануату","Vanuatu","69ad3b237acbbcf72cee7dc1","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Vietnam","Asia","Hanoi","Hanoi","Ханой","Xanoy","Wietnam","Вьетнам","Vyetnam","69ad3b237acbbcf72cee7dc4","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Somalia","Africa","Mogadishu","Mogadiszu","Могадишо","Mogadisho","Somalia","Сомали","Somali","69ad3b237acbbcf72cee7da3","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"South Africa","Africa","Pretoria / Cape Town / Bloemfontein","Pretoria / Kapsztad / Bloemfontein","Претория / Кейптаун / Блумфонтейн","Pretoriya / Keyptaun / Blumfonteyn","Republika Południowej Afryki","ЮАР","Janubiy Afrika Respublikasi","69ad3b237acbbcf72cee7da4","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"United Kingdom","Europe","London","Londyn","Лондон","London","Wielka Brytania","Великобритания","Buyuk Britaniya","69ad3b237acbbcf72cee7dbd","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Uzbekistan","Asia","Tashkent","Taszkent","Ташкент","Toshkent","Uzbekistan","Узбекистан","Oʻzbekiston","69ad3b237acbbcf72cee7dc0","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Palau","Oceania","Ngerulmud","Ngerulmud","Нгерулмуд","Ngerulmud","Palau","Палау","Palau","69ad3b237acbbcf72cee7d87","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Panama","North America","Panama City","Panama","Панама","Panama shahri","Panama","Панама","Panama","69ad3b237acbbcf72cee7d89","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
